map_seed,level,map_id,model,goal_reached,number_of_steps,collision,out_of_bound
1_1,1,1,Pure_Neural,True,940,False,False
1_1,1,1,Neurosymbolic,True,593,False,False
1_1,1,1,AR_PPO,True,549,False,False
1_2,1,2,Pure_Neural,True,817,False,False
1_2,1,2,Neurosymbolic,True,601,False,False
1_2,1,2,AR_PPO,True,611,False,False
1_3,1,3,Pure_Neural,True,309,False,False
1_3,1,3,Neurosymbolic,True,260,False,False
1_3,1,3,AR_PPO,True,285,False,False
1_4,1,4,Pure_Neural,True,244,False,False
1_4,1,4,Neurosymbolic,True,214,False,False
1_4,1,4,AR_PPO,True,223,False,False
1_5,1,5,Pure_Neural,True,486,False,False
1_5,1,5,Neurosymbolic,True,396,False,False
1_5,1,5,AR_PPO,True,404,False,False
