level,approach,success,path_length,step_count,final_distance,duration,path_efficiency,collision,out_of_bounds,timeout
1,Human Expert,True,5.820758134070463,801,0.20265556494210665,51.13946557044983,0.996449610997598,False,False,False
1,Neural Only,True,8.570138764214494,958,0.2994887355698176,0.0,0.7001053501086382,False,False,False
1,Neurosymbolic,True,8.876275770478804,1224,0.29102284197403155,0.0,0.6759591697179039,False,False,False
2,Human Expert,True,5.8205780911546405,800,0.202655564491317,51.02591300010681,0.9964804333102402,False,False,False
2,Neural Only,True,8.545225468712298,955,0.29014653046790734,0.0,0.7021464819118641,False,False,False
2,Neurosymbolic,True,8.822922927322319,1257,0.29401248886435566,0.0,0.680046742947232,False,False,False
3,Human Expert,True,5.819037664068219,792,0.20265556062888282,50.506601095199585,0.9967442235457089,False,False,False
3,Neural Only,True,8.621040436199413,991,0.2967895137279695,0.0,0.6959716804953417,False,False,False
3,Neurosymbolic,True,8.868543787939542,1258,0.2951542042118677,0.0,0.6765485003478795,False,False,False
4,Human Expert,True,8.308952490665149,802,0.20138837648179606,51.2078320980072,0.9974029065086853,False,False,False
4,Neural Only,True,8.625507590854145,1001,0.2992456664479973,0.0,0.9837428446803222,False,False,False
4,Neurosymbolic,True,8.825501000833789,1273,0.29868871669254915,0.0,0.961450389438166,False,False,False
5,Human Expert,True,5.8211103144257645,803,0.20265556582350197,51.14701819419861,0.996389325256856,False,False,False
5,Neural Only,False,2.0524229799383957,239,7.346579688516325,0.0,2.9233740114233626,True,False,False
5,Neurosymbolic,True,20.440944862316716,2662,0.2916253073659019,0.0,0.2935285056739778,False,False,False
6,Human Expert,True,8.309491951198927,815,0.20075178776306926,51.987746238708496,0.9973362953875711,False,False,False
6,Neural Only,True,9.231652744164478,1043,0.2988170528063464,0.0,0.9191508399839123,False,False,False
6,Neurosymbolic,True,9.485773091148527,1345,0.29278472348775764,0.0,0.8945271294921078,False,False,False
7,Human Expert,True,5.820209906315252,798,0.2026555635690388,51.302199840545654,0.9965434703762519,False,False,False
7,Neural Only,False,11.678435433810902,1334,0.4877539691351317,0.0,0.5137674506149221,True,False,False
7,Neurosymbolic,True,23.48541560404039,2989,0.2974812575849512,0.0,0.25547770161528544,False,False,False
